Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24,month
0.0005938201,4.287297e-05,6.26463e-05,3.3926855e-05,0.0,0.0025598824,0.0,0.0,0.12714502,0.30862164,0.36593968,0.48302928,0.48988038,0.6348518,0.44471896,0.3568392,0.1262333,0.025523553,0.0,0.0,1.4958848e-06,0.0,0.0,0.0,1.0
0.0,2.8133585e-05,0.0,8.086816e-05,8.815768e-05,0.0008895975,0.0,0.0,0.0,0.0,0.13799028,0.0,0.051616233,0.0,0.0,0.0,0.0,0.0,0.0,1.0769278e-06,0.0,0.0,0.0,4.0397863e-06,1.0
0.0019089304,0.0,0.0,5.359434e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22738232,0.0,0.0,0.23056914,0.0,0.0,0.0,0.0,6.467052e-06,0.0,1.381563e-06,1.0519722e-06,0.0,1.0
0.0014557472,0.0,7.50582e-06,0.0,9.557381e-06,0.0029959448,0.0,0.0,0.0,0.069126755,0.0,0.08959263,0.006004136,0.2087426,0.0,0.0,0.0,0.0,7.279718e-06,1.7227052e-06,0.0,3.9022933e-07,0.0,1.2951458e-06,1.0
0.0030687666,0.0,0.0,4.1312684e-05,5.9820035e-05,0.0,0.0,0.040226907,0.11835649,0.36160114,0.64830357,0.61590487,0.5376281,0.789408,0.4426121,0.34990558,0.115580276,0.0015246494,0.0,2.530212e-06,0.0,0.0,2.6285952e-06,6.2862307e-07,1.0
0.0,6.6776e-05,0.0,5.060839e-05,0.0,0.0013870961,0.0,0.0,0.0,0.14944895,0.14929457,0.18675138,0.35597807,0.39582247,0.40961805,0.29286665,0.13208993,0.021132821,0.0,0.0,2.7780814e-06,2.1050405e-06,4.3322237e-07,3.4871393e-06,1.0
0.0033787352,0.0,0.00014987004,0.0,3.4803117e-05,0.0,0.0,0.0,0.09224191,0.18636794,0.08332041,0.23402193,0.47001687,0.20782104,0.2760036,0.056191556,0.0,0.0,0.0,0.0,0.0,1.5202951e-06,5.098877e-07,0.0,1.0
0.0027294054,0.0,0.000109667766,0.0,0.0,0.0,0.0,0.0,0.18546206,0.2860615,0.5889433,0.64302564,0.92543983,0.6720028,0.5659359,0.48239747,0.2225027,6.610743e-05,0.0,4.389554e-06,0.0,6.5879084e-07,8.817157e-06,1.1464482e-06,1.0
0.0024074523,0.0,0.0,3.4667897e-05,0.00015276538,0.0006657095,0.00060319854,0.0,0.0,0.0,0.25380728,0.16861758,0.3275202,0.29552585,0.19802569,0.14506628,0.07446882,0.0,1.0780918e-05,0.0,0.0,2.788633e-06,0.0,2.237761e-06,1.0
0.0,1.884421e-05,6.283382e-05,0.0,1.4516271e-05,0.0010697115,0.0,0.0,0.16213116,0.15436865,0.2070063,0.3219844,0.31133357,0.24421386,0.23048154,0.10764732,0.12889975,0.013171346,0.0,0.0,6.586516e-06,0.0,0.0,0.0,1.0
